1	-86.3006	32.3777
2	-90.1821	32.3038
3	-91.1874	30.4571
4	-92.289	34.7466
5	-92.1729	38.5792
6	-95.678	39.0482
7	-97.5033	35.4922
8	-97.7403	30.2747
9	-105.94	35.6822
10	-112.097	33.4481
11	-119.766	39.1639
12	-121.494	38.5767
13	-157.857	21.3074
14	-134.42	58.3016
15	-122.905	47.0358
16	-123.03	44.9385
17	-116.2	43.6178
18	-112.018	46.5857
19	-111.888	40.7775
20	-104.985	39.7392
21	-104.82	41.1403
22	-100.783	46.8209
23	-100.346	44.367
24	-96.6997	40.8081
25	-93.6037	41.5911
26	-93.1022	44.9551
27	-89.3844	43.0747
28	-89.655	39.7984
29	-86.7842	36.1658
30	-84.8754	38.1867
31	-86.1626	39.7686
32	-84.5553	42.7336
33	-82.9991	39.9613
34	-81.6123	38.3362
35	-76.8836	40.2644
36	-74.7699	40.2206
37	-73.7579	42.6528
38	-72.5805	44.2624
39	-71.538	43.2069
40	-69.7817	44.3072
41	-71.0637	42.3582
42	-71.415	41.8309
43	-72.6822	41.764
44	-75.5197	39.1573
45	-76.4909	38.9788
46	-77.4336	37.5389
47	-78.6391	35.7804
48	-81.0332	34.0003
49	-84.3882	33.749
50	-84.2813	30.4381
1	-86.3006	32.3777
