           1   0.0505348   0.0505348           0
           2   0.0502091   0.0503719 0.000115154
           3   0.0505657   0.0504365  9.3145e-05
           4     0.05021   0.0503799 8.53601e-05
           5   0.0510798   0.0505199  0.00014262
           6   0.0511297   0.0506215 0.000150778
           7   0.0502995   0.0505755 0.000136077
           8   0.0501539   0.0505228 0.000128868
           9   0.0503152   0.0504997 0.000116595
          10   0.0505332   0.0505031 0.000104983
          11   0.0507601   0.0505265 9.80051e-05
          12    0.050146   0.0504948 9.48265e-05
          13   0.0502789   0.0504782 8.89739e-05
          14   0.0511059    0.050523 9.32351e-05
          15   0.0506402   0.0505308 8.73461e-05
          16   0.0501788   0.0505088 8.46125e-05
          17   0.0495812   0.0504542 9.56245e-05
          18   0.0502794   0.0504445 9.08043e-05
          19   0.0509136   0.0504692 8.93179e-05
          20   0.0500583   0.0504487 8.71825e-05
          21   0.0499174   0.0504234 8.66243e-05
          22   0.0499633   0.0504025 8.51732e-05
          23   0.0505419   0.0504085 8.16855e-05
          24   0.0507116   0.0504211 7.92519e-05
          25   0.0510108   0.0504447 7.95142e-05
          26   0.0496203    0.050413 8.25373e-05
          27   0.0512473   0.0504439 8.50675e-05
          28   0.0501284   0.0504327 8.27725e-05
          29    0.050331   0.0504291 7.99926e-05
          30   0.0508311   0.0504425 7.84403e-05
           1      2.0248      2.0248           0
           2     2.21451     2.11966   0.0670735
           3     2.13116     2.12349   0.0448252
           4     2.12285     2.12333   0.0336192
           5     2.23121     2.14491   0.0331024
           6     2.38515     2.18495   0.0457931
           7     2.13545     2.17788   0.0397933
           8      2.0491     2.16178   0.0379355
           9     2.27639     2.17451    0.035794
          10     1.98396     2.15546   0.0369403
          11     2.05975     2.14676   0.0345916
          12     2.15026     2.14705   0.0317102
          13     2.17816     2.14944   0.0293611
          14     1.97367     2.13689   0.0298278
          15     2.14445     2.13739   0.0278436
          16     2.02682     2.13048   0.0269473
          17     2.25001     2.13751   0.0262635
          18     2.16808     2.13921   0.0248593
          19     2.12623     2.13853   0.0235603
          20     2.29332     2.14627   0.0236193
          21     2.22048      2.1498   0.0227574
          22     2.19466     2.15184   0.0218141
          23     2.17101     2.15267   0.0208816
          24     2.28168     2.15805   0.0206918
          25     2.27921     2.16289   0.0204238
          26      1.9849     2.15605   0.0207539
          27     2.23875     2.15911     0.02021
          28     2.29602       2.164   0.0200711
          29     2.56588     2.17786   0.0236847
          30     2.07048     2.17428   0.0231641
          31     2.17916     2.17444   0.0224174
          32     2.08691      2.1717   0.0218831
          33     2.28662     2.17518   0.0214953
          34     2.08921     2.17266   0.0210113
          35     2.14842     2.17196   0.0204223
          36     2.18942     2.17245   0.0198608
          37     2.12787     2.17124   0.0193605
          38     2.36131     2.17625   0.0194864
          39     2.10563     2.17443   0.0190707
          40     2.07002     2.17182   0.0187717
          41     2.29347     2.17479   0.0185469
          42     2.11374     2.17334   0.0181621
          43     2.24685     2.17505     0.01782
          44     2.13088     2.17404   0.0174433
          45     2.16577     2.17386   0.0170566
          46     2.00405     2.17017   0.0170806
          47     2.36953     2.17441   0.0172359
          48     2.20695     2.17509   0.0168901
          49     2.16899     2.17496   0.0165459
          50     2.16983     2.17486   0.0162153
           1     6.20466     6.20466           0
