           1     1.82583     1.82583           0
           2     1.81433     1.82008  0.00406664
           3     1.81985        1.82  0.00271186
           4     1.83016     1.82254  0.00299512
           5     1.89175     1.83638   0.0126101
           6     1.83919     1.83685    0.010517
           7     1.82273     1.83483  0.00920609
           8     1.81615      1.8325  0.00834639
           9     1.82142     1.83127  0.00750915
          10     1.82305     1.83045  0.00680303
          11     1.82864     1.83028  0.00618656
          12     1.81575     1.82907  0.00578836
          13     1.81501     1.82799  0.00544321
          14       1.829     1.82806   0.0050549
          15     1.84001     1.82886  0.00478023
          16     1.80045     1.82708  0.00479985
          17     1.80165     1.82559  0.00474483
          18     1.84567      1.8267  0.00461052
          19     1.87243     1.82911  0.00495627
          20     1.82314     1.82881  0.00471742
          21     1.82179     1.82848  0.00450459
          22     1.80752     1.82752  0.00439938
          23     1.83933     1.82804  0.00423796
          24     1.83473     1.82832  0.00407054
          25     1.82666     1.82825  0.00390825
          26     1.80401     1.82732  0.00386753
          27     1.83766      1.8277   0.0037432
          28     1.81687     1.82731  0.00362944
          29     1.82331     1.82718  0.00350692
          30     1.83505     1.82744  0.00339982
           1     1.67603     1.67603           0
           2     1.64563     1.66083   0.0107477
           3     1.66066     1.66078  0.00716532
           4     1.68415     1.66662  0.00738143
           5     1.63585     1.66046  0.00807257
           6     1.60363     1.65099   0.0109561
           7     1.67179     1.65396  0.00978541
           8     1.65564     1.65417  0.00856448
           9     1.63509     1.65205  0.00787094
          10     1.70303     1.65715  0.00857721
          11     1.67779     1.65903  0.00800014
          12     1.67978     1.66076  0.00751808
          13     1.65345     1.66019  0.00696071
          14     1.69744     1.66285  0.00695335
          15     1.64637     1.66175   0.0065761
          16     1.65512     1.66134  0.00617817
          17     1.64778     1.66054  0.00586599
          18     1.64536      1.6597  0.00560044
          19      1.6702     1.66025  0.00533291
          20     1.62854     1.65867  0.00529674
          21     1.64553     1.65804   0.0050813
          22     1.67125     1.65864  0.00488569
          23     1.65289     1.65839  0.00467966
          24     1.60945     1.65635  0.00490896
          25     1.65643     1.65635   0.0047126
          26     1.70351     1.65817  0.00486787
          27     1.64709     1.65776  0.00470485
          28     1.64919     1.65745  0.00454676
          29     1.60493     1.65564  0.00473696
          30     1.65875     1.65574   0.0045802
          31     1.64324     1.65534  0.00445016
          32     1.67501     1.65596  0.00435335
          33     1.64421      1.6556  0.00423595
          34     1.66086     1.65576  0.00411419
          35     1.65534     1.65574  0.00399666
          36     1.64277     1.65538  0.00390185
          37     1.66818     1.65573   0.0038117
          38     1.61226     1.65459  0.00387922
          39     1.68787     1.65544  0.00387252
          40     1.64871     1.65527  0.00377935
          41     1.63193      1.6547   0.0037298
          42     1.66704     1.65499  0.00365254
          43     1.64293     1.65471  0.00357837
          44     1.67139     1.65509  0.00351706
          45     1.65091       1.655  0.00344013
          46     1.69763     1.65593  0.00348791
          47     1.61818     1.65512  0.00350493
          48     1.64631     1.65494  0.00343672
          49     1.66582     1.65516  0.00337375
          50     1.66307     1.65532  0.00330998
           1    0.616037    0.616037           0
